cancer_type,drug_type,phase,enrollment_size,trial_duration_months,sponsor_type,outcome
melanoma,hormone_therapy,III,642.0,82.0,industry,1
melanoma,immunotherapy,I,1723.0,53.0,industry,0
ovarian,radiation,II,1524.0,87.0,government,0
lung,hormone_therapy,II,487.0,86.0,industry,1
pancreatic,chemotherapy,II,1185.0,86.0,industry,0
lung,targeted_therapy,II,375.0,66.0,industry,1
pancreatic,immunotherapy,III,728.0,80.0,academic,0
colorectal,chemotherapy,II,1514.0,89.0,industry,0
ovarian,immunotherapy,II,1664.0,15.0,industry,1
colorectal,radiation,II,1039.0,34.0,industry,1
lung,targeted_therapy,IV,1931.0,53.0,industry,1
ovarian,combination,IV,1634.0,103.0,industry,1
colorectal,targeted_therapy,III,921.0,86.0,industry,1
breast,radiation,II,692.0,67.0,government,1
lung,targeted_therapy,I,458.0,111.0,industry,1
colorectal,combination,II,550.0,18.0,industry,0
breast,hormone_therapy,II,146.0,49.0,academic,0
breast,immunotherapy,III,224.0,52.0,industry,1
melanoma,combination,III,48.0,108.0,academic,1
lung,chemotherapy,III,464.0,69.0,industry,0
breast,radiation,III,985.0,96.0,academic,1
melanoma,hormone_therapy,II,1762.0,58.0,academic,1
colorectal,chemotherapy,III,483.0,95.0,government,1
prostate,chemotherapy,II,1323.0,97.0,industry,1
lung,radiation,I,170.0,82.0,industry,0
ovarian,hormone_therapy,III,259.0,81.0,industry,1
pancreatic,chemotherapy,I,285.0,49.0,government,0
pancreatic,chemotherapy,II,1737.0,33.0,government,0
colorectal,hormone_therapy,II,1148.0,7.0,industry,0
renal,targeted_therapy,III,1980.0,106.0,industry,1
renal,chemotherapy,III,1476.0,62.0,industry,1
colorectal,immunotherapy,II,932.0,62.0,industry,1
breast,hormone_therapy,III,516.0,39.0,industry,1
lung,chemotherapy,II,1483.0,92.0,industry,1
pancreatic,radiation,II,1791.0,63.0,academic,0
pancreatic,combination,III,704.0,57.0,government,1
breast,immunotherapy,III,177.0,114.0,government,1
pancreatic,combination,IV,191.0,34.0,industry,1
ovarian,combination,II,513.0,40.0,academic,0
lung,chemotherapy,III,989.0,80.0,government,0
bladder,immunotherapy,III,1354.0,53.0,industry,1
pancreatic,immunotherapy,IV,1446.0,38.0,academic,1
colorectal,targeted_therapy,II,1712.0,80.0,industry,1
ovarian,combination,III,1813.0,78.0,industry,0
pancreatic,immunotherapy,III,695.0,83.0,industry,1
ovarian,targeted_therapy,II,678.0,14.0,industry,1
melanoma,hormone_therapy,II,922.0,108.0,academic,1
bladder,targeted_therapy,II,685.0,53.0,industry,1
leukemia,radiation,III,1506.0,72.0,industry,1
colorectal,chemotherapy,III,386.0,98.0,industry,1
colorectal,hormone_therapy,III,569.0,88.0,government,0
lung,hormone_therapy,III,662.0,41.0,industry,1
ovarian,radiation,III,1913.0,101.0,academic,1
breast,targeted_therapy,I,274.0,76.0,academic,1
colorectal,chemotherapy,II,227.0,97.0,industry,0
ovarian,targeted_therapy,II,469.0,49.0,industry,1
ovarian,immunotherapy,II,114.0,87.0,academic,0
prostate,targeted_therapy,II,1903.0,65.0,industry,1
prostate,hormone_therapy,III,858.0,68.0,industry,1
leukemia,chemotherapy,II,497.0,10.0,academic,0
melanoma,targeted_therapy,II,702.0,92.0,industry,1
leukemia,chemotherapy,II,781.0,91.0,industry,1
pancreatic,chemotherapy,I,209.0,95.0,industry,0
breast,immunotherapy,IV,730.0,111.0,industry,1
pancreatic,immunotherapy,III,1527.0,81.0,academic,1
renal,hormone_therapy,III,1776.0,45.0,academic,1
pancreatic,radiation,I,1579.0,24.0,academic,0
lung,chemotherapy,III,775.0,52.0,academic,1
pancreatic,radiation,III,1466.0,70.0,industry,0
leukemia,hormone_therapy,III,855.0,72.0,industry,1
colorectal,chemotherapy,I,1683.0,96.0,industry,0
colorectal,chemotherapy,III,1648.0,23.0,industry,1
prostate,combination,III,1855.0,55.0,government,1
breast,radiation,III,152.0,35.0,academic,1
breast,targeted_therapy,III,74.0,71.0,industry,1
lung,immunotherapy,II,529.0,10.0,industry,1
leukemia,targeted_therapy,III,689.0,98.0,industry,1
prostate,radiation,I,1584.0,102.0,industry,0
renal,immunotherapy,III,429.0,47.0,industry,1
breast,targeted_therapy,I,1254.0,89.0,industry,1
colorectal,combination,II,1709.0,99.0,government,1
pancreatic,immunotherapy,II,1336.0,111.0,academic,0
pancreatic,chemotherapy,III,1006.0,10.0,industry,0
prostate,targeted_therapy,I,753.0,55.0,industry,1
leukemia,immunotherapy,III,1158.0,90.0,industry,1
leukemia,combination,III,1992.0,63.0,academic,1
melanoma,immunotherapy,II,1713.0,84.0,academic,1
bladder,immunotherapy,I,278.0,89.0,government,0
breast,combination,I,1806.0,13.0,industry,1
leukemia,targeted_therapy,III,1165.0,118.0,academic,1
colorectal,hormone_therapy,III,318.0,36.0,industry,1
prostate,targeted_therapy,II,1818.0,17.0,academic,1
renal,radiation,I,1424.0,26.0,industry,0
melanoma,combination,III,580.0,99.0,industry,1
ovarian,targeted_therapy,III,1932.0,67.0,academic,1
lung,immunotherapy,III,1884.0,96.0,industry,1
renal,combination,III,1544.0,113.0,industry,1
ovarian,chemotherapy,I,316.0,95.0,industry,0
pancreatic,targeted_therapy,I,381.0,38.0,industry,0
lung,combination,I,608.0,31.0,industry,0
breast,targeted_therapy,II,1506.0,95.0,industry,1
colorectal,combination,I,1481.0,105.0,industry,1
lung,immunotherapy,II,146.0,45.0,industry,0
bladder,chemotherapy,II,216.0,70.0,government,0
ovarian,chemotherapy,IV,240.0,64.0,industry,1
breast,radiation,III,1014.0,20.0,industry,1
bladder,combination,III,110.0,119.0,industry,0
pancreatic,targeted_therapy,III,430.0,6.0,government,0
bladder,chemotherapy,I,27.0,16.0,academic,0
melanoma,chemotherapy,III,563.0,60.0,industry,0
melanoma,hormone_therapy,II,487.0,7.0,academic,0
prostate,hormone_therapy,III,339.0,70.0,academic,1
renal,chemotherapy,II,1437.0,100.0,academic,1
renal,combination,IV,288.0,49.0,academic,1
breast,radiation,II,1234.0,21.0,government,0
pancreatic,chemotherapy,II,1904.0,27.0,government,0
leukemia,immunotherapy,IV,1718.0,111.0,academic,1
melanoma,targeted_therapy,I,80.0,23.0,industry,0
breast,radiation,III,1481.0,52.0,academic,1
leukemia,immunotherapy,III,1307.0,86.0,academic,1
renal,radiation,III,816.0,35.0,industry,1
prostate,immunotherapy,IV,1138.0,15.0,government,1
bladder,targeted_therapy,IV,572.0,104.0,industry,1
melanoma,targeted_therapy,I,945.0,63.0,industry,0
breast,hormone_therapy,III,1513.0,67.0,government,1
lung,combination,III,680.0,90.0,industry,1
leukemia,immunotherapy,III,735.0,85.0,industry,1
bladder,hormone_therapy,I,798.0,11.0,industry,0
melanoma,immunotherapy,III,1557.0,72.0,industry,1
renal,hormone_therapy,IV,1733.0,46.0,industry,1
pancreatic,targeted_therapy,IV,1980.0,48.0,industry,1
leukemia,radiation,II,213.0,90.0,industry,1
renal,hormone_therapy,I,501.0,82.0,government,0
melanoma,immunotherapy,II,1942.0,23.0,government,0
leukemia,immunotherapy,III,1379.0,63.0,industry,1
bladder,combination,III,1478.0,65.0,academic,1
melanoma,targeted_therapy,II,1239.0,93.0,industry,1
ovarian,immunotherapy,I,874.0,32.0,industry,1
breast,chemotherapy,II,1292.0,73.0,industry,1
bladder,radiation,II,517.0,27.0,government,1
leukemia,hormone_therapy,IV,231.0,29.0,government,1
pancreatic,combination,III,684.0,45.0,industry,1
renal,radiation,II,689.0,114.0,industry,0
lung,targeted_therapy,III,1509.0,79.0,industry,1
renal,combination,I,1917.0,71.0,industry,0
leukemia,hormone_therapy,IV,1694.0,45.0,academic,1
renal,hormone_therapy,II,240.0,11.0,industry,0
breast,chemotherapy,II,292.0,117.0,academic,0
melanoma,targeted_therapy,II,1197.0,23.0,industry,0
lung,combination,III,1292.0,86.0,government,0
colorectal,combination,III,298.0,107.0,academic,1
leukemia,immunotherapy,III,1483.0,114.0,industry,1
prostate,chemotherapy,II,1991.0,92.0,academic,1
colorectal,chemotherapy,II,835.0,115.0,academic,0
renal,combination,I,295.0,35.0,industry,1
leukemia,combination,III,1024.0,26.0,industry,1
ovarian,radiation,I,533.0,67.0,government,0
prostate,radiation,III,1131.0,15.0,industry,0
lung,radiation,III,1842.0,112.0,industry,0
pancreatic,chemotherapy,III,942.0,18.0,industry,0
ovarian,immunotherapy,II,661.0,81.0,academic,1
colorectal,hormone_therapy,II,524.0,14.0,academic,0
melanoma,radiation,I,609.0,73.0,government,0
breast,immunotherapy,III,791.0,44.0,industry,1
pancreatic,targeted_therapy,III,1284.0,29.0,industry,0
ovarian,radiation,II,1696.0,39.0,academic,0
melanoma,hormone_therapy,II,759.0,108.0,academic,0
melanoma,targeted_therapy,III,694.0,66.0,industry,1
leukemia,targeted_therapy,III,1279.0,46.0,industry,1
ovarian,hormone_therapy,II,1033.0,10.0,industry,0
lung,radiation,III,147.0,84.0,academic,0
renal,chemotherapy,II,522.0,55.0,government,0
prostate,hormone_therapy,I,1243.0,9.0,academic,0
prostate,hormone_therapy,IV,921.0,56.0,government,1
colorectal,hormone_therapy,III,562.0,57.0,industry,1
colorectal,targeted_therapy,III,1545.0,44.0,government,1
prostate,immunotherapy,I,1693.0,13.0,academic,0
lung,chemotherapy,III,511.0,118.0,industry,0
breast,radiation,II,1064.0,50.0,government,0
bladder,radiation,II,1277.0,93.0,industry,1
renal,immunotherapy,III,733.0,33.0,government,1
breast,hormone_therapy,I,810.0,112.0,government,0
leukemia,chemotherapy,III,1686.0,32.0,academic,1
bladder,radiation,III,435.0,70.0,academic,1
bladder,combination,II,167.0,39.0,industry,1
ovarian,radiation,II,989.0,86.0,industry,0
lung,hormone_therapy,II,48.0,106.0,industry,0
lung,combination,I,1404.0,67.0,academic,0
bladder,immunotherapy,III,327.0,67.0,academic,1
ovarian,chemotherapy,III,1926.0,43.0,government,1
renal,immunotherapy,I,1985.0,31.0,industry,0
bladder,immunotherapy,I,181.0,29.0,academic,0
pancreatic,chemotherapy,III,888.0,44.0,government,0
colorectal,chemotherapy,III,871.0,26.0,academic,1
colorectal,radiation,II,80.0,99.0,industry,0
breast,radiation,II,144.0,52.0,industry,1
leukemia,chemotherapy,III,1499.0,53.0,industry,0
colorectal,combination,II,1114.0,18.0,academic,0
melanoma,targeted_therapy,I,857.0,106.0,academic,0
breast,radiation,III,1950.0,8.0,government,1
colorectal,targeted_therapy,III,1919.0,37.0,industry,1
leukemia,combination,III,485.0,40.0,industry,1
lung,chemotherapy,III,262.0,24.0,academic,0
lung,combination,III,1533.0,19.0,academic,1
renal,radiation,II,1804.0,53.0,government,0
bladder,immunotherapy,II,1264.0,91.0,academic,0
pancreatic,chemotherapy,I,492.0,86.0,industry,0
lung,hormone_therapy,I,978.0,73.0,academic,0
ovarian,targeted_therapy,III,552.0,50.0,government,1
colorectal,combination,III,513.0,109.0,industry,1
ovarian,chemotherapy,IV,918.0,24.0,industry,0
leukemia,combination,III,101.0,69.0,industry,1
lung,chemotherapy,II,875.0,106.0,industry,0
pancreatic,radiation,I,898.0,71.0,academic,0
leukemia,radiation,III,1565.0,84.0,industry,1
melanoma,radiation,III,942.0,71.0,industry,1
melanoma,combination,III,31.0,80.0,industry,1
ovarian,hormone_therapy,III,1306.0,50.0,academic,1
bladder,radiation,III,1700.0,92.0,industry,1
breast,chemotherapy,III,468.0,79.0,academic,1
bladder,radiation,I,1235.0,72.0,industry,0
renal,immunotherapy,III,781.0,74.0,industry,1
bladder,radiation,III,1157.0,8.0,industry,1
renal,combination,II,45.0,43.0,industry,0
renal,hormone_therapy,III,1826.0,82.0,industry,1
pancreatic,immunotherapy,II,1542.0,47.0,industry,1
lung,combination,IV,527.0,88.0,government,0
pancreatic,combination,I,1588.0,45.0,academic,0
renal,combination,III,81.0,55.0,industry,1
leukemia,chemotherapy,II,248.0,40.0,industry,1
melanoma,combination,III,1858.0,29.0,government,1
renal,chemotherapy,II,626.0,93.0,academic,0
pancreatic,combination,II,1078.0,22.0,industry,0
leukemia,targeted_therapy,II,1748.0,45.0,academic,1
pancreatic,immunotherapy,IV,1499.0,79.0,academic,0
bladder,targeted_therapy,II,1631.0,71.0,academic,1
colorectal,combination,I,910.0,49.0,industry,0
ovarian,immunotherapy,III,1545.0,28.0,industry,1
breast,immunotherapy,III,780.0,11.0,industry,1
pancreatic,hormone_therapy,IV,614.0,71.0,government,1
breast,targeted_therapy,I,1068.0,26.0,academic,1
prostate,hormone_therapy,III,1612.0,40.0,industry,1
pancreatic,immunotherapy,II,1075.0,118.0,government,0
colorectal,chemotherapy,II,1874.0,34.0,government,1
breast,immunotherapy,III,1055.0,12.0,government,1
renal,hormone_therapy,III,1362.0,98.0,government,1
pancreatic,targeted_therapy,III,1888.0,58.0,government,1
lung,combination,II,1647.0,42.0,industry,1
ovarian,combination,II,20.0,28.0,academic,0
colorectal,targeted_therapy,II,1478.0,102.0,academic,1
breast,combination,IV,1881.0,13.0,industry,1
colorectal,combination,II,1179.0,81.0,industry,0
leukemia,hormone_therapy,II,1239.0,115.0,government,1
ovarian,targeted_therapy,II,152.0,53.0,industry,1
renal,radiation,III,105.0,15.0,government,0
pancreatic,chemotherapy,II,1519.0,84.0,industry,0
pancreatic,chemotherapy,IV,1850.0,29.0,industry,0
pancreatic,combination,II,1834.0,95.0,industry,0
ovarian,chemotherapy,III,1367.0,52.0,industry,1
lung,targeted_therapy,I,1223.0,111.0,academic,1
prostate,targeted_therapy,III,535.0,58.0,academic,1
melanoma,immunotherapy,IV,1681.0,44.0,industry,1
bladder,immunotherapy,II,194.0,72.0,industry,1
breast,chemotherapy,IV,782.0,71.0,industry,1
lung,radiation,II,1064.0,11.0,industry,1
renal,immunotherapy,IV,1016.0,26.0,academic,1
breast,immunotherapy,III,1995.0,78.0,industry,1
pancreatic,targeted_therapy,II,1148.0,79.0,industry,1
colorectal,radiation,II,597.0,41.0,industry,0
renal,combination,II,1486.0,8.0,industry,0
breast,chemotherapy,I,1818.0,110.0,industry,1
pancreatic,immunotherapy,I,68.0,93.0,industry,0
breast,radiation,I,547.0,91.0,government,0
colorectal,radiation,II,164.0,118.0,government,1
pancreatic,chemotherapy,III,1383.0,83.0,academic,1
prostate,radiation,I,781.0,47.0,industry,1
lung,radiation,I,1898.0,50.0,industry,0
leukemia,radiation,III,1397.0,49.0,industry,1
bladder,immunotherapy,II,1118.0,96.0,academic,1
ovarian,chemotherapy,I,1845.0,38.0,government,0
bladder,radiation,II,948.0,65.0,industry,1
renal,radiation,IV,813.0,91.0,industry,1
bladder,immunotherapy,III,1621.0,98.0,academic,1
pancreatic,chemotherapy,II,1680.0,88.0,academic,0
prostate,targeted_therapy,III,338.0,88.0,academic,1
leukemia,immunotherapy,III,1130.0,75.0,academic,1
lung,chemotherapy,III,1596.0,114.0,government,0
lung,radiation,III,717.0,88.0,industry,1
colorectal,chemotherapy,III,1909.0,82.0,government,0
ovarian,chemotherapy,II,1935.0,31.0,government,0
breast,combination,I,866.0,91.0,academic,1
prostate,chemotherapy,II,1821.0,26.0,industry,1
breast,targeted_therapy,III,802.0,105.0,industry,1
leukemia,chemotherapy,III,61.0,7.0,industry,1
bladder,targeted_therapy,III,1136.0,52.0,industry,1
lung,radiation,IV,1740.0,113.0,government,0
leukemia,targeted_therapy,II,1770.0,35.0,industry,1
bladder,radiation,III,1550.0,32.0,industry,1
lung,radiation,III,548.0,76.0,academic,1
bladder,targeted_therapy,IV,1999.0,25.0,industry,1
ovarian,immunotherapy,IV,1308.0,55.0,industry,1
prostate,hormone_therapy,III,1669.0,100.0,industry,1
renal,chemotherapy,II,311.0,28.0,academic,1
leukemia,combination,III,988.0,18.0,industry,1
leukemia,hormone_therapy,I,1507.0,86.0,government,0
melanoma,chemotherapy,III,1847.0,9.0,industry,1
pancreatic,chemotherapy,IV,1603.0,19.0,government,0
ovarian,radiation,II,1862.0,25.0,industry,0
ovarian,chemotherapy,III,116.0,18.0,industry,1
breast,combination,II,1930.0,8.0,industry,1
bladder,chemotherapy,II,1138.0,95.0,industry,1
pancreatic,targeted_therapy,II,1369.0,95.0,industry,1
prostate,hormone_therapy,III,93.0,87.0,industry,1
prostate,targeted_therapy,IV,1379.0,101.0,industry,1
ovarian,combination,IV,1111.0,83.0,academic,1
prostate,chemotherapy,II,777.0,52.0,industry,1
melanoma,combination,III,1961.0,8.0,industry,1
leukemia,radiation,III,1120.0,6.0,academic,1
colorectal,targeted_therapy,II,227.0,95.0,government,0
renal,targeted_therapy,I,1927.0,29.0,industry,1
breast,immunotherapy,II,1809.0,118.0,industry,1
bladder,chemotherapy,IV,1264.0,40.0,government,0
renal,radiation,III,1305.0,19.0,industry,1
bladder,targeted_therapy,III,429.0,72.0,government,1
lung,targeted_therapy,II,350.0,18.0,industry,0
renal,radiation,III,363.0,52.0,government,1
colorectal,combination,I,1008.0,55.0,industry,1
ovarian,combination,II,790.0,83.0,government,0
melanoma,chemotherapy,III,1863.0,90.0,industry,1
leukemia,immunotherapy,I,93.0,31.0,academic,0
leukemia,targeted_therapy,III,1680.0,8.0,industry,1
melanoma,immunotherapy,II,1743.0,56.0,industry,1
pancreatic,combination,III,273.0,45.0,academic,0
lung,combination,II,978.0,73.0,industry,0
bladder,hormone_therapy,III,1876.0,41.0,government,1
colorectal,chemotherapy,I,839.0,56.0,industry,0
prostate,hormone_therapy,I,1790.0,112.0,government,0
renal,hormone_therapy,IV,1005.0,6.0,industry,1
lung,hormone_therapy,II,1805.0,109.0,government,1
renal,chemotherapy,III,351.0,116.0,government,0
colorectal,chemotherapy,IV,1441.0,38.0,industry,1
breast,radiation,II,1388.0,12.0,government,1
breast,immunotherapy,II,1627.0,57.0,academic,1
lung,immunotherapy,III,766.0,16.0,industry,1
ovarian,radiation,IV,855.0,32.0,academic,0
colorectal,radiation,IV,1711.0,19.0,industry,0
colorectal,combination,III,474.0,91.0,academic,1
melanoma,hormone_therapy,III,1949.0,85.0,industry,1
ovarian,radiation,I,1158.0,51.0,industry,0
bladder,targeted_therapy,IV,332.0,81.0,industry,1
bladder,immunotherapy,IV,1037.0,118.0,academic,1
prostate,radiation,II,247.0,115.0,government,0
leukemia,targeted_therapy,II,853.0,15.0,government,1
breast,targeted_therapy,I,877.0,29.0,industry,1
bladder,targeted_therapy,II,1288.0,66.0,industry,1
ovarian,combination,III,837.0,115.0,academic,1
colorectal,combination,II,1569.0,23.0,academic,1
bladder,targeted_therapy,I,1037.0,91.0,industry,1
colorectal,combination,II,547.0,14.0,industry,1
bladder,hormone_therapy,IV,969.0,22.0,industry,1
breast,targeted_therapy,III,446.0,107.0,industry,1
renal,hormone_therapy,II,61.0,109.0,academic,0
bladder,hormone_therapy,II,484.0,63.0,industry,1
ovarian,targeted_therapy,IV,1665.0,18.0,government,1
bladder,immunotherapy,III,297.0,55.0,industry,1
leukemia,targeted_therapy,II,855.0,106.0,industry,1
breast,targeted_therapy,I,38.0,11.0,government,0
ovarian,combination,I,85.0,90.0,academic,0
melanoma,targeted_therapy,I,186.0,56.0,industry,0
ovarian,immunotherapy,III,1628.0,41.0,academic,0
leukemia,combination,IV,1039.0,76.0,industry,1
renal,chemotherapy,II,422.0,105.0,academic,0
breast,chemotherapy,III,1955.0,30.0,industry,1
melanoma,hormone_therapy,II,1865.0,16.0,academic,0
leukemia,hormone_therapy,III,428.0,49.0,industry,1
leukemia,immunotherapy,III,131.0,19.0,industry,1
lung,radiation,II,1317.0,114.0,government,0
breast,chemotherapy,II,1450.0,34.0,academic,1
ovarian,hormone_therapy,III,1416.0,79.0,industry,1
colorectal,chemotherapy,I,616.0,55.0,industry,0
renal,immunotherapy,II,670.0,117.0,industry,1
colorectal,immunotherapy,III,1082.0,10.0,academic,1
ovarian,radiation,IV,124.0,77.0,academic,0
ovarian,radiation,II,343.0,115.0,academic,0
breast,combination,III,1836.0,74.0,industry,1
ovarian,immunotherapy,II,1011.0,93.0,academic,1
lung,hormone_therapy,III,1457.0,109.0,industry,1
melanoma,chemotherapy,III,448.0,62.0,industry,1
ovarian,targeted_therapy,III,654.0,31.0,academic,1
colorectal,radiation,II,749.0,11.0,government,0
ovarian,targeted_therapy,III,908.0,21.0,academic,1
lung,hormone_therapy,III,1104.0,65.0,academic,1
bladder,radiation,II,1655.0,105.0,academic,0
bladder,targeted_therapy,I,1350.0,17.0,government,0
leukemia,hormone_therapy,I,1397.0,80.0,industry,1
renal,chemotherapy,I,412.0,8.0,industry,0
prostate,hormone_therapy,III,223.0,68.0,government,1
melanoma,combination,II,277.0,113.0,government,0
pancreatic,radiation,II,505.0,69.0,industry,0
leukemia,immunotherapy,III,1560.0,67.0,industry,1
renal,chemotherapy,II,465.0,106.0,industry,1
bladder,targeted_therapy,III,1752.0,11.0,industry,1
colorectal,radiation,II,1223.0,24.0,government,0
pancreatic,immunotherapy,IV,1043.0,23.0,industry,1
renal,hormone_therapy,III,361.0,85.0,government,0
renal,immunotherapy,III,152.0,92.0,industry,1
leukemia,radiation,II,462.0,48.0,industry,1
pancreatic,radiation,III,1879.0,106.0,industry,0
breast,combination,I,272.0,78.0,academic,1
prostate,combination,I,284.0,8.0,academic,1
breast,immunotherapy,I,112.0,77.0,academic,0
pancreatic,hormone_therapy,III,1705.0,43.0,industry,1
breast,immunotherapy,II,1454.0,73.0,industry,1
lung,radiation,III,157.0,81.0,industry,0
bladder,radiation,I,1251.0,49.0,industry,0
lung,targeted_therapy,II,1021.0,100.0,academic,1
ovarian,combination,III,1680.0,94.0,academic,1
breast,targeted_therapy,II,1789.0,85.0,academic,1
ovarian,chemotherapy,III,1616.0,68.0,industry,1
colorectal,radiation,II,326.0,47.0,industry,0
melanoma,targeted_therapy,III,285.0,69.0,industry,1
colorectal,immunotherapy,III,665.0,59.0,industry,1
pancreatic,combination,II,337.0,83.0,academic,0
renal,combination,II,1156.0,82.0,academic,1
bladder,hormone_therapy,III,920.0,110.0,industry,1
breast,immunotherapy,III,1421.0,76.0,industry,1
leukemia,hormone_therapy,II,473.0,81.0,government,1
melanoma,targeted_therapy,II,210.0,42.0,academic,0
prostate,chemotherapy,III,1934.0,119.0,academic,1
prostate,immunotherapy,III,1483.0,9.0,industry,1
prostate,immunotherapy,II,1230.0,7.0,industry,1
breast,immunotherapy,II,850.0,104.0,government,1
prostate,hormone_therapy,II,1410.0,49.0,academic,1
lung,targeted_therapy,III,1132.0,72.0,industry,1
melanoma,immunotherapy,II,206.0,73.0,academic,0
lung,immunotherapy,IV,838.0,107.0,academic,0
renal,combination,II,1989.0,81.0,industry,1
melanoma,chemotherapy,II,1040.0,88.0,industry,1
lung,combination,III,151.0,79.0,industry,1
melanoma,combination,IV,891.0,67.0,industry,1
renal,chemotherapy,III,654.0,6.0,academic,1
ovarian,targeted_therapy,II,1603.0,22.0,industry,1
breast,combination,III,1843.0,21.0,academic,1
breast,targeted_therapy,III,1419.0,14.0,government,1
prostate,combination,II,710.0,58.0,industry,1
colorectal,radiation,II,711.0,78.0,industry,1
prostate,chemotherapy,II,1142.0,64.0,academic,0
pancreatic,combination,II,1885.0,14.0,academic,1
lung,radiation,IV,1077.0,17.0,academic,0
melanoma,hormone_therapy,II,1975.0,46.0,industry,0
colorectal,radiation,IV,601.0,20.0,industry,0
renal,immunotherapy,III,190.0,71.0,academic,1
pancreatic,combination,III,1409.0,80.0,government,1
renal,radiation,III,803.0,16.0,industry,0
breast,targeted_therapy,I,1102.0,13.0,government,1
breast,hormone_therapy,II,200.0,60.0,industry,0
prostate,combination,I,38.0,101.0,government,0
lung,immunotherapy,III,1269.0,11.0,academic,1
colorectal,radiation,II,1516.0,58.0,industry,0
bladder,hormone_therapy,III,1138.0,25.0,academic,0
pancreatic,combination,II,900.0,44.0,industry,0
pancreatic,hormone_therapy,II,1340.0,104.0,industry,0
prostate,immunotherapy,II,1636.0,77.0,industry,1
breast,radiation,IV,194.0,119.0,industry,0
prostate,hormone_therapy,III,1265.0,118.0,industry,1
melanoma,hormone_therapy,II,1658.0,112.0,academic,0
colorectal,chemotherapy,III,73.0,39.0,academic,1
lung,hormone_therapy,I,714.0,62.0,industry,0
ovarian,chemotherapy,IV,882.0,24.0,government,0
leukemia,radiation,III,1446.0,76.0,academic,1
leukemia,combination,II,1361.0,36.0,government,1
prostate,combination,III,1910.0,87.0,academic,1
melanoma,radiation,I,368.0,45.0,industry,0
colorectal,radiation,IV,462.0,19.0,industry,1
bladder,targeted_therapy,II,852.0,108.0,academic,0
leukemia,radiation,III,599.0,105.0,industry,1
colorectal,hormone_therapy,II,1583.0,86.0,industry,1
lung,combination,III,1829.0,42.0,industry,1
renal,immunotherapy,III,301.0,49.0,industry,1
melanoma,combination,III,379.0,14.0,industry,1
breast,chemotherapy,III,934.0,63.0,industry,1
colorectal,combination,III,842.0,25.0,industry,1
lung,targeted_therapy,I,1674.0,114.0,academic,0
bladder,radiation,II,911.0,97.0,academic,0
ovarian,radiation,II,972.0,55.0,industry,0
breast,combination,IV,1689.0,25.0,industry,1
ovarian,immunotherapy,II,660.0,110.0,industry,0
bladder,immunotherapy,III,1051.0,41.0,industry,1
lung,targeted_therapy,III,582.0,32.0,industry,1
leukemia,chemotherapy,II,510.0,77.0,industry,1
ovarian,combination,II,360.0,37.0,academic,1
breast,radiation,II,491.0,6.0,industry,0
prostate,combination,II,1836.0,22.0,industry,1
pancreatic,targeted_therapy,II,1730.0,14.0,industry,0
colorectal,hormone_therapy,I,1738.0,89.0,academic,0
leukemia,hormone_therapy,III,1747.0,50.0,government,1
ovarian,targeted_therapy,IV,268.0,101.0,academic,1
renal,radiation,II,254.0,71.0,academic,1
colorectal,targeted_therapy,II,1126.0,37.0,industry,1
prostate,radiation,I,1136.0,50.0,industry,0
bladder,immunotherapy,III,1928.0,14.0,government,1
pancreatic,targeted_therapy,III,1437.0,35.0,industry,1
lung,radiation,I,843.0,89.0,government,0
prostate,targeted_therapy,II,1311.0,43.0,academic,1
prostate,targeted_therapy,III,1460.0,65.0,academic,1
bladder,radiation,III,651.0,6.0,industry,1
melanoma,radiation,I,1626.0,10.0,academic,0
bladder,chemotherapy,III,548.0,68.0,industry,1
melanoma,targeted_therapy,II,1296.0,104.0,industry,1
melanoma,hormone_therapy,II,141.0,41.0,industry,0
leukemia,targeted_therapy,III,911.0,70.0,government,1
leukemia,targeted_therapy,III,29.0,83.0,industry,1
breast,radiation,II,1842.0,78.0,industry,1
ovarian,targeted_therapy,IV,1359.0,99.0,industry,1
ovarian,combination,II,857.0,29.0,academic,0
lung,targeted_therapy,III,1316.0,9.0,academic,1
ovarian,combination,II,1349.0,119.0,academic,1
leukemia,hormone_therapy,III,1848.0,83.0,industry,1
breast,radiation,IV,1253.0,94.0,industry,1
breast,targeted_therapy,I,1773.0,73.0,academic,1
melanoma,combination,IV,772.0,30.0,industry,1
bladder,combination,III,905.0,79.0,government,0
lung,combination,III,483.0,104.0,academic,0
melanoma,immunotherapy,II,731.0,12.0,industry,1
bladder,chemotherapy,III,747.0,111.0,industry,1
ovarian,hormone_therapy,III,736.0,18.0,academic,0
melanoma,targeted_therapy,II,1968.0,73.0,industry,1
colorectal,immunotherapy,IV,1459.0,119.0,industry,1
ovarian,targeted_therapy,I,1259.0,48.0,academic,1
bladder,targeted_therapy,I,99.0,62.0,industry,0
lung,radiation,III,1822.0,41.0,academic,0
bladder,radiation,III,499.0,19.0,industry,1
melanoma,radiation,III,921.0,87.0,academic,1
melanoma,immunotherapy,I,910.0,77.0,industry,1
prostate,targeted_therapy,IV,1590.0,101.0,industry,1
lung,chemotherapy,I,1844.0,32.0,government,0
renal,hormone_therapy,I,37.0,111.0,academic,0
ovarian,radiation,I,1208.0,42.0,industry,0
breast,radiation,III,1568.0,92.0,industry,1
lung,targeted_therapy,IV,221.0,76.0,academic,0
